timestamp,attention_score,pitch,yaw,roll,ear_l,ear_r,gaze_l,gaze_r,blinks,status
2026-03-13T16:17:04.077318,100.0,0.8,7.9,-12.4,0.118,0.382,0.033,0.071,0,ATTENTIVE
2026-03-13T16:17:04.200404,100.0,-0.4,10.0,-12.9,0.094,0.376,0.017,0.019,0,ATTENTIVE
2026-03-13T16:17:04.256184,100.0,-0.1,10.9,-12.9,0.087,0.380,0.026,0.046,0,ATTENTIVE
2026-03-13T16:17:04.301115,100.0,0.5,12.3,-11.9,0.046,0.387,0.019,0.057,0,ATTENTIVE
2026-03-13T16:17:04.353452,100.0,0.6,11.7,-12.2,0.057,0.386,0.028,0.055,0,ATTENTIVE
2026-03-13T16:17:04.421085,100.0,2.2,11.5,-11.7,0.057,0.382,0.017,0.058,0,ATTENTIVE
2026-03-13T16:17:04.480139,100.0,2.0,11.5,-11.8,0.059,0.377,0.035,0.054,0,ATTENTIVE
2026-03-13T16:17:04.536119,100.0,0.1,11.1,-12.1,0.085,0.379,0.045,0.051,0,ATTENTIVE
2026-03-13T16:17:04.581612,100.0,-1.0,9.6,-12.4,0.102,0.380,0.053,0.047,0,ATTENTIVE
2026-03-13T16:17:04.626914,100.0,-0.8,9.6,-12.2,0.086,0.380,0.036,0.049,0,ATTENTIVE
2026-03-13T16:17:04.675907,100.0,1.2,10.4,-12.0,0.086,0.380,0.040,0.058,0,ATTENTIVE
2026-03-13T16:17:04.720032,100.0,2.4,10.1,-11.4,0.058,0.381,0.040,0.056,0,ATTENTIVE
2026-03-13T16:17:04.772849,100.0,2.5,9.9,-11.6,0.059,0.383,0.055,0.017,0,ATTENTIVE
2026-03-13T16:17:04.830689,100.0,2.2,9.7,-12.3,0.056,0.382,0.032,0.042,0,ATTENTIVE
2026-03-13T16:17:04.875502,100.0,0.8,9.7,-12.5,0.063,0.374,0.031,0.031,0,ATTENTIVE
2026-03-13T16:17:04.922791,100.0,0.5,9.7,-12.5,0.079,0.378,0.033,0.025,0,ATTENTIVE
2026-03-13T16:17:04.969047,100.0,0.7,9.6,-12.4,0.089,0.378,0.042,0.031,0,ATTENTIVE
2026-03-13T16:17:05.017003,100.0,1.7,9.7,-11.6,0.064,0.383,0.021,0.057,0,ATTENTIVE
2026-03-13T16:17:05.062867,100.0,1.9,9.7,-11.4,0.067,0.381,0.017,0.062,0,ATTENTIVE
2026-03-13T16:17:05.109370,100.0,1.6,10.1,-11.3,0.085,0.385,0.025,0.067,0,ATTENTIVE
2026-03-13T16:17:05.156717,100.0,1.7,9.7,-11.4,0.088,0.384,0.027,0.060,0,ATTENTIVE
2026-03-13T16:17:05.204177,100.0,0.2,9.6,-11.6,0.096,0.384,0.029,0.060,0,ATTENTIVE
2026-03-13T16:17:05.250095,100.0,0.5,10.1,-11.5,0.089,0.381,0.024,0.042,0,ATTENTIVE
2026-03-13T16:17:05.297663,100.0,0.8,9.9,-11.5,0.080,0.377,0.022,0.049,0,ATTENTIVE
2026-03-13T16:17:05.345986,100.0,1.3,9.1,-11.3,0.074,0.380,0.015,0.055,0,ATTENTIVE
2026-03-13T16:17:05.392493,100.0,3.7,9.6,-11.5,0.097,0.388,0.009,0.008,0,ATTENTIVE
2026-03-13T16:17:05.438259,100.0,3.3,9.2,-11.5,0.104,0.396,0.023,0.012,0,ATTENTIVE
2026-03-13T16:17:05.485579,100.0,4.1,9.9,-11.9,0.170,0.426,0.034,-0.073,0,ATTENTIVE
2026-03-13T16:17:05.530868,100.0,6.1,9.2,-12.3,0.296,0.489,0.085,-0.099,0,ATTENTIVE
2026-03-13T16:17:05.581681,100.0,6.4,10.2,-12.5,0.319,0.515,0.093,-0.109,0,ATTENTIVE
2026-03-13T16:17:05.623134,100.0,5.2,10.4,-12.5,0.309,0.505,0.093,-0.140,0,ATTENTIVE
2026-03-13T16:17:05.671590,100.0,4.8,10.1,-12.5,0.299,0.499,0.085,-0.127,0,ATTENTIVE
2026-03-13T16:17:05.716477,100.0,5.3,10.1,-12.4,0.292,0.495,0.115,-0.105,0,ATTENTIVE
2026-03-13T16:17:05.766112,100.0,5.5,9.5,-12.8,0.290,0.503,0.129,-0.102,0,ATTENTIVE
2026-03-13T16:17:05.810569,100.0,5.6,9.7,-13.0,0.292,0.492,0.126,-0.100,0,ATTENTIVE
2026-03-13T16:17:05.858971,100.0,5.2,10.0,-13.4,0.273,0.490,0.089,-0.108,0,ATTENTIVE
2026-03-13T16:17:05.905184,100.0,5.0,10.0,-13.5,0.277,0.492,0.104,-0.096,0,ATTENTIVE
2026-03-13T16:17:05.951688,100.0,4.4,9.6,-13.4,0.275,0.491,0.142,-0.080,0,ATTENTIVE
2026-03-13T16:17:05.998787,100.0,4.1,9.6,-13.5,0.260,0.491,0.120,-0.079,0,ATTENTIVE
2026-03-13T16:17:06.045132,100.0,3.6,10.2,-13.6,0.249,0.493,0.111,-0.066,0,ATTENTIVE
2026-03-13T16:17:06.089995,100.0,4.8,10.3,-13.5,0.248,0.494,0.109,-0.067,0,ATTENTIVE
2026-03-13T16:17:06.137752,100.0,4.5,9.8,-13.4,0.258,0.499,0.049,-0.062,0,ATTENTIVE
2026-03-13T16:17:06.186258,100.0,4.8,9.3,-13.5,0.253,0.490,0.040,-0.064,0,ATTENTIVE
2026-03-13T16:17:06.233936,100.0,4.9,9.3,-14.0,0.288,0.493,0.070,-0.090,0,ATTENTIVE
2026-03-13T16:17:06.280983,100.0,5.0,8.8,-14.0,0.278,0.491,0.070,-0.080,0,ATTENTIVE
2026-03-13T16:17:06.325943,100.0,4.3,8.6,-13.9,0.273,0.492,0.064,-0.078,0,ATTENTIVE
2026-03-13T16:17:06.372255,100.0,4.8,9.0,-13.6,0.240,0.486,0.051,-0.073,0,ATTENTIVE
2026-03-13T16:17:06.420060,100.0,4.7,8.4,-13.7,0.251,0.491,0.028,-0.093,0,ATTENTIVE
2026-03-13T16:17:06.469220,100.0,4.7,8.5,-13.9,0.250,0.483,0.029,-0.095,0,ATTENTIVE
2026-03-13T16:17:06.527112,100.0,5.5,8.6,-13.9,0.249,0.470,0.011,-0.131,0,ATTENTIVE
2026-03-13T16:17:06.576265,100.0,6.0,8.0,-13.7,0.248,0.475,0.011,-0.117,0,ATTENTIVE
2026-03-13T16:17:06.619025,100.0,6.1,7.6,-13.2,0.245,0.477,0.001,-0.118,0,ATTENTIVE
2026-03-13T16:17:06.667634,100.0,6.2,7.7,-13.0,0.236,0.477,-0.011,-0.126,0,ATTENTIVE
2026-03-13T16:17:06.713217,100.0,6.6,8.4,-13.1,0.245,0.484,-0.025,-0.131,0,ATTENTIVE
2026-03-13T16:17:06.759497,100.0,6.6,8.5,-12.8,0.228,0.481,-0.029,-0.137,0,ATTENTIVE
